name,planet_status,mass,radius,orbital_period,semi_major_axis,eccentricity,star_metallicity,detection_type,discovered
Kepler-79 c,Confirmed,0.019,0.332,27.4029,0.187,0.03,-0.073,Primary Transit,2012-01-01
Kepler-79 d,Confirmed,0.019,0.639,52.0902,0.287,0.025,-0.073,Primary Transit,2014-01-01
Kepler-79 e,Confirmed,0.013,0.311,81.0659,0.386,0.012,-0.073,Primary Transit,2014-01-01
Kepler-7 b,Confirmed,0.441,1.622,4.8854892,0.06067,0.1,0.11,Primary Transit,2009-01-01
Kepler-82 b,Confirmed,0.03823,0.363,26.44,0.1683,0.0033,0.15,Primary Transit,2012-01-01
Kepler-82 c,Confirmed,0.04373,0.476,51.54,0.2626,0.007,0.15,Primary Transit,2012-01-01
Kepler-84 Ac,Confirmed,0.0636,0.281,12.88291395,0.1072,0.0,-0.18,"Primary Transit, TTV",2012-01-01
Kepler-86 b,Confirmed,0.34235,0.8466,282.5254,0.824,0.28,-0.078,Primary Transit,2013-01-01
Kepler-87 b,Confirmed,1.02,1.204,114.73635,0.481,0.036,-0.17,Primary Transit,2013-01-01
Kepler-87 c,Confirmed,0.02,0.548,191.2318,0.676,0.039,-0.17,Primary Transit,2013-01-01
Kepler-89 Ab,Confirmed,0.018115,0.14613,3.743208,0.05119,0.25,0.11,Primary Transit,2013-01-01
Kepler-89 Ac,Confirmed,0.019528,0.34473,10.423648,0.1013,0.43,0.11,Primary Transit,2013-01-01
Kepler-89 Ad,Confirmed,0.2504561,0.91989,22.342989,0.1684,0.022,0.11,Primary Transit,2013-01-01
Kepler-89 Ae,Confirmed,0.0254662,0.54564,54.32031,0.3046,0.019,0.11,Primary Transit,2013-01-01
Kepler-8 b,Confirmed,0.59,1.416,3.5224991,0.0474,0.0,-0.055,Primary Transit,2010-01-01
Kepler-91 b,Confirmed,0.81,1.367,6.24658,0.0731,0.066,0.11,Primary Transit,2013-01-01
Kepler-93 b,Confirmed,0.0143,0.14,4.72674,0.053,0.0,-0.18,Primary Transit,2014-01-01
Kepler-99 Bb,Confirmed,0.0119971,0.16166,4.60358,0.05069,0.0,0.21,Primary Transit,2014-01-01
Kepler-9 b,Confirmed,0.13655,0.74,19.23891,0.143,0.0609,0.05,Primary Transit,2010-01-01
Kepler-9 c,Confirmed,0.09408,0.721,38.9853,0.227,0.06691,0.05,Primary Transit,2010-01-01
KOI-415 b,Confirmed,62.14,0.79,166.78805,0.593,0.698,-0.24,Primary Transit,2013-01-01
KPS-1 b,Confirmed,1.09,1.03,1.706291,0.0269,0.0,0.22,Primary Transit,2018-01-01
L 168-9 b,Confirmed,0.01265,0.1392,1.40152634,0.0208,0.022,-0.03,Primary Transit,2020-01-01
L 98-59 b,Confirmed,0.0013,0.0758,2.2531136,0.02191,0.1,-0.5,Primary Transit,2018-01-01
L 98-59 c,Confirmed,0.00698,0.12356,3.6906777,0.0304,0.103,-0.5,Primary Transit,2018-01-01
L 98-59 d,Confirmed,0.0061,0.1357,7.4507245,0.0486,0.074,-0.5,Primary Transit,2018-01-01
LHS 1140 b,Confirmed,0.02196,0.15407,24.736,0.0936,0.06,-0.24,Primary Transit,2017-01-01
LHS 1140 c,Confirmed,0.00569,0.11437,3.777931,0.02675,0.31,-0.24,Primary Transit,2018-01-01
LHS 1815 b,Confirmed,0.0132,0.09707,3.81433,0.0404,0.0,-0.12,Primary Transit,2020-01-01
LP 714-47 b,Confirmed,0.0969,0.419,4.052037,0.0417,0.04,0.41,Primary Transit,2020-01-01
LP 791-18 d,Confirmed,0.0028,0.0919,2.75485,0.0199,0.0011,-0.09,Primary Transit,2023-01-01
LTT 1445 Ab,Confirmed,0.009,0.116,5.358766,0.03813,0.11,-0.34,Primary Transit,2019-01-01
LTT 1445 Ac,Confirmed,0.00485,0.10233,3.1239035,0.0266,0.223,-0.34,Primary Transit,2020-01-01
LTT 9779 b,Confirmed,0.09225,0.4211,0.7920641,0.01679,0.0,0.25,Primary Transit,2019-01-01
MASCARA-1 b,Confirmed,3.7,1.5,2.14878,0.043,0.0,0.0,Primary Transit,2017-01-01
MASCARA-3 Ab,Confirmed,5.18,1.272,5.5514926,0.06971,0.085,0.168,Primary Transit,2019-01-01
MASCARA-4 Ab,Confirmed,1.675,1.53,2.82406,0.047,0.0,0.0,Primary Transit,2019-01-01
NGTS-10 Ab,Confirmed,2.162,1.205,0.7668944,0.0143,0.0,-0.02,Primary Transit,2020-01-01
NGTS-11 b,Confirmed,0.37,0.823,35.455285,0.2,0.11,0.22,Primary Transit,2020-01-01
NGTS-13 b,Confirmed,4.84,1.142,4.119027,0.0549,0.086,0.25,Primary Transit,2021-01-01
NGTS-14 Ab,Confirmed,0.092,0.44,3.5357173,0.0403,0.0,0.1,Primary Transit,2021-01-01
NGTS-15 b,Confirmed,0.751,1.1,3.27623,0.0441,0.0,0.15,Primary Transit,2021-01-01
NGTS-16 b,Confirmed,0.667,1.3,4.84532,0.0523,0.0,0.35,Primary Transit,2021-01-01
